layer,type,level,polytilesetname,polylayername,pointtilesetname,pointlayername,id,feature_id,wikidata_id,worldview,unit_code,name,name_en,names,description,source_date,iso_3166_1_alpha_3,iso_3166_1,grouping_attributes,join_attributes,parent_1,parent_2,parent_3,parent_4,z_min,area_sqkm,centroid,bounds
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP362,1779433,,all,62,,,,2-digit postcode area,2018,USA,US,,,,,,,0,91449,"[-88.8564,38.8811]","[-91.5131,36.9703,-87.4952,40.7424]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP363,1713897,,all,63,,,,2-digit postcode area,2018,USA,US,,,,,,,0,74670,"[-90.8986,38.3415]","[-93.334,35.9957,-89.099,40.6136]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP364,1648361,,all,64,,,,2-digit postcode area,2018,USA,US,,,,,,,0,64316,"[-94.1028,38.5711]","[-95.7,36.4987,-92.7883,40.5844]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP365,2238185,,all,65,,,,2-digit postcode area,2018,USA,US,,,,,,,0,91824,"[-92.2729,38.0857]","[-94.2752,36.4561,-90.9729,39.6803]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP366,2172649,,all,66,,,,2-digit postcode area,2018,USA,US,,,,,,,0,80006,"[-95.8356,38.5457]","[-99.1612,36.9986,-94.5808,40.0596]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP367,2107113,,all,67,,,,2-digit postcode area,2018,USA,US,,,,,,,0,192371,"[-99.5795,38.4809]","[-102.0518,36.9276,-94.9257,40.0032]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP368,2041577,,all,68,,,,2-digit postcode area,2018,USA,US,,,,,,,0,140891,"[-98.0735,41.5203]","[-100.534,39.9436,-95.3083,43.0593]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP369,1976041,,all,69,,,,2-digit postcode area,2018,USA,US,,,,,,,0,128405,"[-102.2601,41.651]","[-104.0535,40.0016,-99.5977,43.2597]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP370,337641,,all,70,,,,2-digit postcode area,2018,USA,US,,,,,,,0,70046,"[-92.0668,30.0804]","[-93.9044,28.9175,-88.8201,31.0668]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP371,206569,,all,71,,,,2-digit postcode area,2018,USA,US,,,,,,,0,124196,"[-92.5496,32.7149]","[-94.5419,30.5456,-90.8756,34.8335]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP372,75497,,all,72,,,,2-digit postcode area,2018,USA,US,,,,,,,0,113535,"[-92.3002,35.2926]","[-94.6179,33.9375,-89.6444,36.6245]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP373,6498025,,all,73,,,,2-digit postcode area,2018,USA,US,,,,,,,0,122047,"[-98.5706,35.4459]","[-103.0024,30.2304,-96.3027,37.1383]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP374,6432489,,all,74,,,,2-digit postcode area,2018,USA,US,,,,,,,0,101550,"[-95.8538,35.3253]","[-97.7651,33.6158,-94.4307,36.9997]"
